MAV,RMS,StandardDeviation,Variance,WaveformLength,ZeroCrossing,HandMove
0.00054476,0.0021805,0.0021806,4.75E-06,5.6258,2937,Down
0.0005334,0.002179,0.002179,4.75E-06,6.0973,3373,Down
0.00050289,0.0021628,0.0021628,4.68E-06,5.4163,3154,Down
0.00051722,0.0021462,0.0021462,4.61E-06,6.2744,3507,Down
0.00049309,0.0021961,0.0021961,4.82E-06,5.2315,3102,Down
0.00039112,0.0017576,0.0017576,3.09E-06,4.9037,3452,Down
0.00035313,0.001655,0.001655,2.74E-06,4.5966,3364,Down
0.00031767,0.0013488,0.0013489,1.82E-06,4.4816,3557,Down
0.00033706,0.0017105,0.0017106,2.93E-06,4.013,2800,Down
0.00027716,0.001148,0.001148,1.32E-06,3.8395,3142,Down
0.00036684,0.0013547,0.0013547,1.84E-06,4.9264,3505,Down
0.00037487,0.0015299,0.0015299,2.34E-06,4.4915,3170,Down
0.00030147,0.0011385,0.0011385,1.30E-06,4.0935,3228,Down
0.00031506,0.0014386,0.0014386,2.07E-06,4.7414,3754,Down
0.00039956,0.0017246,0.0017246,2.97E-06,5.1133,3198,Down
0.000409,0.001934,0.001934,3.74E-06,5.2272,3456,Down
0.00036457,0.0014851,0.0014851,2.21E-06,4.5956,3403,Down
0.00026335,0.00096072,0.00096072,9.23E-07,4.0037,3107,Down
0.00038195,0.0015467,0.0015467,2.39E-06,4.9051,3299,Down
0.00033809,0.0013267,0.0013267,1.76E-06,4.7448,3506,Up
0.00098522,0.0041267,0.0041268,1.70E-05,8.8323,3228,Up
0.0010226,0.004123,0.0041231,1.70E-05,8.9703,3045,Up
0.00076795,0.0032273,0.0032273,1.04E-05,7.0644,3149,Up
0.001258,0.0051034,0.0051035,2.60E-05,11.54,3561,Up
0.00065611,0.0028225,0.0028225,7.97E-06,6.7707,3147,Up
0.0014463,0.0055245,0.0055246,3.05E-05,12.086,3518,Up
0.0011332,0.004573,0.0045731,2.09E-05,10.184,3343,Up
0.00088625,0.0036468,0.0036468,1.33E-05,8.8197,3328,Up
0.00080566,0.003253,0.003253,1.06E-05,8.4503,3653,Up
0.00069491,0.0030344,0.0030344,9.21E-06,7,3110,Up
0.0010134,0.0041714,0.0041715,1.74E-05,9.5721,3544,Up
0.00071996,0.0033498,0.0033499,1.12E-05,7.4355,3220,Up
0.0011738,0.0046889,0.0046889,2.20E-05,9.9545,3037,Up
0.00078216,0.0033842,0.0033843,1.15E-05,7.8474,3433,Up
0.0010697,0.0045091,0.0045091,2.03E-05,8.8187,3276,Up
0.00083303,0.0035455,0.0035455,1.26E-05,8.2597,3117,Up
0.00077426,0.0033354,0.0033354,1.11E-05,7.4421,3324,Up
0.00069122,0.002765,0.0027651,7.65E-06,7.7136,3522,Up
0.00085616,0.0035344,0.0035345,1.25E-05,7.118,2764,Up
0.00070248,0.0028858,0.0028859,8.33E-06,6.9592,2917,Up
0.00097731,0.0040746,0.0040747,1.66E-05,8.5534,3263,Up
0.00082194,0.0035255,0.0035255,1.24E-05,7.853,3091,Up
0.0012026,0.0046904,0.0046904,2.20E-05,10.158,3163,Up
0.00080555,0.003458,0.003458,1.20E-05,7.3792,3105,Up
0.00082302,0.0035919,0.003592,1.29E-05,8.2997,3162,Up
0.00035228,0.0013212,0.0013212,1.75E-06,4.3159,3023,Down
0.00032402,0.0012567,0.0012567,1.58E-06,4.5059,3527,Down
0.00026329,0.00096931,0.00096932,9.40E-07,4.1955,3425,Down
0.00039391,0.0017365,0.0017365,3.02E-06,5.1769,3524,Down
0.00031827,0.0014679,0.001468,2.15E-06,4.6246,3566,Down
